anio,conglome,vivienda,hogar,dpto_cod,dpto,dominio,dominio_nom,estrato,area,mieperho,gashog2d,linea,linpe,pobreza,pobre,pobre_ext,factor07,w_hog,w_per,nbi1,nbi2,nbi3,nbi4,nbi5,n_nbi,pobre_nbi
2023,006571,071,11,10,Huánuco,5,Sierra Centro,7,rural,2,21240.558594,337.048889,217.144974,3,0,0,234.485474,234.485474,468.970947,,,,,,,
2023,006571,153,11,10,Huánuco,5,Sierra Centro,7,rural,4,9661.048828,337.048889,217.144974,1,1,1,234.485474,234.485474,937.941895,,,,,,,
2023,006571,159,11,10,Huánuco,5,Sierra Centro,7,rural,4,10752.211914,337.048889,217.144974,2,1,0,234.485474,234.485474,937.941895,,,,,,,
2023,006571,160,11,10,Huánuco,5,Sierra Centro,7,rural,3,31575.462891,337.048889,217.144974,3,0,0,234.485474,234.485474,703.456421,,,,,,,
2023,006571,174,11,10,Huánuco,5,Sierra Centro,7,rural,2,12992.081055,337.048889,217.144974,3,0,0,234.485474,234.485474,468.970947,,,,,,,
2023,006571,176,11,10,Huánuco,5,Sierra Centro,7,rural,4,10072.609375,337.048889,217.144974,1,1,1,234.485474,234.485474,937.941895,,,,,,,
2023,006571,177,11,10,Huánuco,5,Sierra Centro,7,rural,2,12727.206055,337.048889,217.144974,3,0,0,234.485474,234.485474,468.970947,,,,,,,
2023,006769,020,11,11,Ica,2,Costa Centro,2,urbano,7,54289.207031,479.115173,239.799545,3,0,0,214.422043,214.422043,1500.954346,,,,,,,
2023,006769,064,11,11,Ica,2,Costa Centro,2,urbano,6,33665.960938,479.115173,239.799545,2,1,0,214.422043,214.422043,1286.532227,,,,,,,
2023,006769,086,11,11,Ica,2,Costa Centro,2,urbano,4,30351.781250,479.115173,239.799545,3,0,0,214.422043,214.422043,857.688171,,,,,,,
2023,006769,128,11,11,Ica,2,Costa Centro,2,urbano,4,42338.859375,479.115173,239.799545,3,0,0,214.422043,214.422043,857.688171,,,,,,,
2023,006769,150,11,11,Ica,2,Costa Centro,2,urbano,3,58232.351562,479.115173,239.799545,3,0,0,214.422043,214.422043,643.266113,,,,,,,
2023,006769,191,11,11,Ica,2,Costa Centro,2,urbano,8,49778.488281,479.115173,239.799545,3,0,0,214.422043,214.422043,1715.376343,,,,,,,
2023,006869,016,11,11,Ica,2,Costa Centro,7,rural,1,12747.486328,385.022491,212.281158,3,0,0,50.962391,50.962391,50.962391,,,,,,,
2023,006869,017,11,11,Ica,2,Costa Centro,7,rural,2,20773.271484,385.022491,212.281158,3,0,0,50.962391,50.962391,101.924782,,,,,,,
2023,006869,019,11,11,Ica,2,Costa Centro,7,rural,3,19206.794922,385.022491,212.281158,3,0,0,50.962391,50.962391,152.887177,,,,,,,
2023,006869,104,11,11,Ica,2,Costa Centro,7,rural,2,20785.726562,385.022491,212.281158,3,0,0,50.962391,50.962391,101.924782,,,,,,,
2023,006869,105,11,11,Ica,2,Costa Centro,7,rural,2,9381.680664,385.022491,212.281158,3,0,0,50.962391,50.962391,101.924782,,,,,,,
2023,006869,107,11,11,Ica,2,Costa Centro,7,rural,3,17155.650391,385.022491,212.281158,3,0,0,50.962391,50.962391,152.887177,,,,,,,
2023,006869,109,11,11,Ica,2,Costa Centro,7,rural,2,19088.509766,385.022491,212.281158,3,0,0,50.962391,50.962391,101.924782,,,,,,,
2023,006921,015,11,12,Junín,5,Sierra Centro,2,urbano,3,31237.550781,386.567566,227.616226,3,0,0,208.274063,208.274063,624.822205,,,,,,,
2023,006921,047,11,12,Junín,5,Sierra Centro,2,urbano,3,46792.386719,386.567566,227.616226,3,0,0,208.274063,208.274063,624.822205,,,,,,,
2023,006921,064,11,12,Junín,5,Sierra Centro,2,urbano,1,37550.679688,386.567566,227.616226,3,0,0,208.274063,208.274063,208.274063,,,,,,,
2023,006921,079,11,12,Junín,5,Sierra Centro,2,urbano,1,22273.861328,386.567566,227.616226,3,0,0,208.274063,208.274063,208.274063,,,,,,,
2023,006921,110,11,12,Junín,5,Sierra Centro,2,urbano,2,25810.640625,386.567566,227.616226,3,0,0,208.274063,208.274063,416.548126,,,,,,,
2023,006921,124,11,12,Junín,5,Sierra Centro,2,urbano,4,24175.679688,386.567566,227.616226,3,0,0,208.274063,208.274063,833.096252,,,,,,,
2023,006975,014,11,12,Junín,5,Sierra Centro,5,urbano,2,9351.004883,386.567566,227.616226,3,0,0,479.537445,479.537445,959.074890,,,,,,,
2023,006975,065,11,12,Junín,5,Sierra Centro,5,urbano,4,40317.613281,386.567566,227.616226,3,0,0,479.537445,479.537445,1918.149780,,,,,,,
2023,006975,097,11,12,Junín,5,Sierra Centro,5,urbano,2,15502.751953,386.567566,227.616226,3,0,0,479.537445,479.537445,959.074890,,,,,,,
2023,006975,147,11,12,Junín,5,Sierra Centro,5,urbano,5,21588.160156,386.567566,227.616226,2,1,0,479.537445,479.537445,2397.687256,,,,,,,
2023,007031,001,11,12,Junín,5,Sierra Centro,6,rural,3,25677.328125,330.755920,217.144974,3,0,0,200.012772,200.012772,600.038330,,,,,,,
